customer_id,nombre,apellido,cedula,fecha_nacimiento,email,direccion,telefono,fecha_creacion,estado_cliente,_tipo_error
Cus001,Lalo,Rios,2313378974,11-07-1964,lalo.rios@yahoo.com,"Pasaje Jiménez y Av. Bilbao, Guipúzcoa",0950693756,16/08/2024 17:35:09,Inactivo,
Cus002,Alfredo,Belmonte,1553370683,26-10-2001,alfredo.belmonte@yahoo.com,"Transversal Alba y Av. Cardona, Zaragoza",0925413319,25/09/2025 17:35:09,Inactivo,
Cus003,Desiderio,Merino,0628390767,27-05-1980,desiderio.merino@hotmail.com,"Av. Araujo y Av. Batlle, Cuenca",0928120891,19/06/2025 17:35:09,Inactivo,
Cus004,Natalia,Correa,2124305638,18-05-1989,natalia.correa@gmail.com,"Transversal Romero y Av. Benavides, Burgos",0992264419,13/05/2025 17:35:09,Inactivo,
Cus005,Juanita,Barceló,2438798510,20-06-1945,juanita.barcelo@gmail.com,"Av. Dueñas y Av. Montes, Huelva",0933113795,24/05/2025 17:35:09,Inactivo,
Cus006,Matilde,Montero,0342667755,27-04-1976,matilde.montero@gmail.com,"Pasaje Reina y Av. Borrás, Valladolid",0965216647,02/02/2025 17:35:09,Inactivo,
Cus007,Nando,Molins,0657108379,28-05-2006,nando.molins@yahoo.com,"Pasaje Izquierdo y Pasaje Barreda, Huesca",0961912259,18/04/2026 17:35:09,Activo,
Cus008,Viviana,Gallego,0822178505,09-02-1964,viviana.gallego@yahoo.com,"Pasaje Costa y Calle Alegria, Madrid",0957156528,17/08/2025 17:35:09,Inactivo,
Cus009,Leonor,Rodrigo,0722123643,12-02-1952,leonor.rodrigo@yahoo.com,"Av. Gallego y Calle Ribas, Jaén",0977104660,18/04/2026 17:35:09,Activo,
Cus010,Eric,Sarabia,0434584272,23-06-1989,eric.sarabia@hotmail.com,"Transversal Boix y Transversal Planas, Málaga",0961006396,21/12/2024 17:35:09,Inactivo,
Cus011,Emperatriz,Andres,1233310281,19-11-1955,emperatriz.andres@hotmail.com,"Transversal Viñas y Av. Maldonado, Granada",0985181081,18/04/2026 17:35:09,Activo,
Cus012,Florentino,España,2153940925,03-02-1962,florentino.espana@gmail.com,"Av. Losa y Pasaje Ayala, Badajoz",0952714098,15/08/2025 17:35:09,Inactivo,
Cus013,Abraham,Paredes,0950240457,26-11-1991,abraham.paredes@hotmail.com,"Av. Lopez y Pasaje Sanz, Cantabria",0916678911,28/04/2025 17:35:09,Inactivo,
Cus014,Narciso,Lillo,0821558913,17-01-2008,narciso.lillo@gmail.com,"Pasaje Villena y Pasaje Gomila, Albacete",0971059198,04/07/2025 17:35:09,Inactivo,
Cus015,Eustaquio,Alsina,1914039282,05-10-1978,,"Pasaje Jáuregui y Calle Tena, Cádiz",0996566340,26/03/2025 17:35:09,Inactivo,business
Cus016,Emiliana,Garmendia,2036839765,04-01-1964,emiliana.garmendia@gmail.com,"Av. Bravo y Calle Barón, La Coruña",0913046895,18/04/2026 17:35:09,Activo,
Cus017,Narcisa,Céspedes,0241510288,12-10-1999,narcisa.cespedes@gmail.com,"Calle Salvador y Calle Porcel, Jaén",0918461575,13/06/2024 17:35:09,Inactivo,
Cus018,María Dolores,Quesada,1846642070,04-07-2002,mariadolores.quesada@yahoo.com,"Calle Cánovas y Transversal Zaragoza, Asturias",0990904303,18/04/2026 17:35:09,Activo,
Cus019,Miguel Ángel,Ribera,2024965317,20-11-2000,miguelangel.ribera@gmail.com,"Transversal Montoya y Transversal Pastor, Ourense",0997197488,18/04/2026 17:35:09,Activo,
Cus020,Ildefonso,Pou,1227175427,16-07-1939,ildefonso.pou@hotmail.com,"Transversal Abella y Transversal Rey, Santa Cruz de Tenerife",0931858556,21/09/2024 17:35:09,Inactivo,
Cus021,Roberta,Solera,1733985657,29-10-2001,roberta.solera@hotmail.com,"Pasaje Barberá y Transversal Guijarro, Ceuta",0941414103,18/04/2026 17:35:09,Activo,
Cus022,Bernabé,Avilés,1444954539,08-01-1969,bernabe.aviles@gmail.com,"Calle Pellicer y Transversal Luján, León",0979830456,09/10/2024 17:35:09,Inactivo,
Cus023,Nieves,Zorrilla,1951346756,14-03-1947,nieves.zorrilla@hotmail.com,"Transversal Piquer y Av. Baena, Sevilla",0995951683,18/04/2026 17:35:09,Activo,
Cus024,Abigaíl,Pina,0551508328,30-05-1987,abigail.pina@hotmail.com,"Calle Arranz y Calle Pol, Jaén",0918302927,20/08/2025 17:35:09,Inactivo,
Cus025,Bernabé,Blanco,1046646798,23-08-2000,bernabe.blanco@yahoo.com,"Pasaje Larrañaga y Pasaje Bilbao, Jaén",0952235560,18/04/2026 17:35:09,Activo,
Cus026,Nacio,Gimeno,1115711689,21-02-1946,nacio.gimeno@gmail.com,"Transversal Ramos y Av. Mosquera, Sevilla",0964265137,27/04/2024 17:35:09,Inactivo,
Cus027,Bonifacio,Recio,0647501337,22-07-1957,bonifacio.recio@hotmail.com,"Av. Cabezas y Transversal Cerdá, Ávila",0943029225,26/09/2024 17:35:09,Inactivo,
Cus028,Loreto,Alba,1236158315,01-11-2000,loreto.alba@gmail.com,"Pasaje Mercader y Pasaje Lobato, Salamanca",0920969231,15/08/2025 17:35:09,Inactivo,
Cus029,Clara,Nieto,1707569438,08-06-1973,clara.nieto@yahoo.com,"Pasaje Landa y Calle Pizarro, Albacete",0911155179,18/04/2026 17:35:09,Activo,
Cus030,Horacio,Carro,0419724299,11-08-1941,horacio.carro@gmail.com,"Calle Arteaga y Av. Torrijos, Salamanca",0989380191,16/11/2024 17:35:09,Inactivo,
Cus031,Sergio,Nicolau,0221835838,05-02-1949,sergio.nicolau@yahoo.com,"Calle Sainz y Calle Valverde, Cuenca",0921051574,08/07/2025 17:35:09,Inactivo,
Cus032,Lalo,Albero,MCIBA47204,30-06-1996,lalo.albero@yahoo.com,"Pasaje Paniagua y Pasaje Casas, Murcia",0996353920,18/04/2026 17:35:09,Activo,schema
Cus033,Lorenzo,Guzman,2107055242,12-05-1952,lorenzo.guzman@hotmail.com,"Pasaje Bárcena y Transversal Diéguez, Melilla",0987357453,18/04/2026 17:35:09,Activo,
Cus034,María Dolores,Solana,0324343086,01-02-1988,mariadolores.solana@gmail.com,"Av. Berrocal y Calle Vendrell, Huelva",0926373592,22/09/2024 17:35:09,Inactivo,
Cus035,Guillermo,Viña,1230530436,29-12-1959,guillermo.vina@yahoo.com,"Av. Chico y Transversal Revilla, Valladolid",0916552999,18/04/2026 17:35:09,Activo,
Cus036,Renata,Zabala,2203464421,11-09-1978,renata.zabala@yahoo.com,"Transversal Corral y Pasaje Rey, La Coruña",0946443774,04/11/2024 17:35:09,Inactivo,
Cus037,Galo,Jaume,2219196231,27-02-1971,galo.jaume@hotmail.com,"Pasaje Alsina y Calle Pablo, Badajoz",0974936309,05/10/2025 17:35:09,Inactivo,
Cus038,Pili,Gutiérrez,1121860595,14-04-1942,pili.gutierrez@hotmail.com,"Av. Valero y Calle Zamora, Huelva",0998519970,18/02/2025 17:35:09,Inactivo,
Cus039,Eloy,Paz,1216533503,01-08-1939,eloy.paz@gmail.com,"Transversal Nogués y Av. Marin, Cáceres",0920850708,23/04/2024 17:35:09,Inactivo,
Cus040,Caridad,Mascaró,0630032258,02-12-1990,caridad.mascaro@gmail.com,"Pasaje Machado y Calle Talavera, Guipúzcoa",0965327150,26/10/2024 17:35:09,Inactivo,
Cus041,Custodia,Maestre,2042994265,07-06-1940,custodia.maestre@yahoo.com,"Transversal Cabañas y Calle Dávila, Vizcaya",0965384801,18/04/2026 17:35:09,Activo,
Cus042,Custodio,Pozuelo,1848260715,30-11-1972,custodio.pozuelo@yahoo.com,"Calle Lopez y Pasaje Luís, Cádiz",0993709512,18/04/2026 17:35:09,Activo,
Cus043,Pepita,Riera,0817777279,17-07-1976,pepita.riera@yahoo.com,"Av. Clavero y Av. Salom, Jaén",0941605395,18/04/2026 17:35:09,Activo,
Cus044,Esmeralda,Vidal,1718944745,22-07-1944,esmeralda.vidal@hotmail.com,"Transversal Pizarro y Pasaje Cobo, Badajoz",0927985706,29/04/2024 17:35:09,Inactivo,
Cus045,León,Carreño,0323675587,26-12-59,leon.carreno@yahoo.com,"Pasaje Botella y Calle Martorell, Asturias",0931284113,03/09/2025 17:35:09,Inactivo,schema
Cus046,Maricruz,Contreras,1829549680,21-09-1982,maricruz.contreras@gmail.com,"Transversal Esparza y Calle Luz, Alicante",0955306864,04/09/2025 17:35:09,Inactivo,
Cus047,Celestino,Abella,2446463628,06-07-1999,celestino.abella@yahoo.com,"Calle Gómez y Calle Sanabria, Cádiz",0924330537,11/08/2024 17:35:09,Inactivo,
Cus048,Angélica,Vaquero,1346104845,12-03-1942,angelica.vaquero@hotmail.com,"Pasaje Lobato y Pasaje Palau, Segovia",0923638518,28/09/2024 17:35:09,Inactivo,
Cus049,Ignacia,Barbero,1426073233,01-12-1970,ignacia.barbero@yahoo.com,"Pasaje Expósito y Calle Rius, Madrid",0993782914,18/04/2026 17:35:09,Activo,
Cus050,Bibiana,Cantero,0609062245,13-02-1974,bibiana.cantero@hotmail.com,"Transversal Donaire y Calle Solana, Huelva",0976392262,21/07/2024 17:35:09,Inactivo,
Cus051,José,Perera,1416608089,10-04-1983,jose.perera@gmail.com,"Av. Noriega y Pasaje Prats, Girona",0922157398,18/04/2026 17:35:09,Activo,
Cus052,Odalys,Gimeno,1033473032,18-09-2001,odalys.gimeno@gmail.com,"Calle Castells y Av. Abril, León",0981486244,18/01/2025 17:35:09,Inactivo,
Cus053,María Ángeles,León,2018300232,25-04-1951,mariaangeles.leon@yahoo.com,"Pasaje Osorio y Av. Lledó, Ávila",0915112334,18/04/2026 17:35:09,Activo,
Cus054,Celestina,Garriga,0233380013,28-07-1946,celestina.garriga@yahoo.com,"Av. Múgica y Transversal Samper, Ciudad",0942024328,18/04/2026 17:35:09,Activo,
Cus055,Glauco,Rosa,1508981964,09-07-1991,glauco.rosa@hotmail.com,"Pasaje Gomez y Pasaje Romeu, Barcelona",0976415281,22/08/2024 17:35:09,Inactivo,
Cus056,Maite,Mesa,2338745116,04-04-1981,maite.mesa@yahoo.com,"Calle Martorell y Transversal Pedro, Madrid",0971531193,18/04/2026 17:35:09,Activo,
Cus057,Haydée,Villalobos,1400513253,02-05-1998,haydee.villalobos@gmail.com,"Calle Duque y Transversal Soler, Guipúzcoa",0955676333,19/04/2024 17:35:09,Inactivo,
